neutral,masculine,feminine,an_nouns,source,,,,
ball person,ballboy,ballgirl,,bartl & leavy (2024),,,,
bartender,barman,bargirl,,bartl & leavy (2024),,,,
caveperson,caveman,cavewoman,,bartl & leavy (2024),,,,
cow herder,cowboy,cowgirl,,bartl & leavy (2024),,,,
emergency medical technician,ambulanceman,ambulancewoman,1,bartl & leavy (2024),,,,
pioneer,frontiersman,frontierswoman,,bartl & leavy (2024),,,,
farm worker,farmboy,farmgirl,,bartl & leavy (2024),,,,
fencer,swordsman,swordswoman,,bartl & leavy (2024),,,,
frontperson,frontman,frontwoman,,bartl & leavy (2024),,,,
maniac,madman,madwoman,,bartl & leavy (2024),,,,
select board member,selectman,selectwoman,,bartl & leavy (2024),,,,
newspaper delivery person,paperboy,papergirl,,bartl & leavy (2024),,,,
reporter,newsman,newswoman,,bartl & leavy (2024),,,,
service member,serviceman,servicewoman,,bartl & leavy (2024),,,,
sex worker,callboy,callgirl,,bartl & leavy (2024),,,,
sharpshooter,marksman,markswoman,,bartl & leavy (2024),,,,
spokesperson,spokesman,spokeswoman,,bartl & leavy (2024),,,,
statesperson,statesman,stateswoman,,bartl & leavy (2024),,,,
tribesperson,tribesman,tribeswoman,,bartl & leavy (2024),,,,
anchorperson,anchorman,anchorwoman,1,bartl & leavy (2024),,,,
chairperson,chairman,chairwoman,,AboutMe - person+man+woman,"['chairman', 'chairperson', 'chairwoman']",,,
outdoorsperson,outdoorsman,outdoorswoman,1,AboutMe - person+man+woman,"['outdoorsman', 'outdoorswoman', 'outdoorsperson']",,,
handyperson,handyman,handywoman,,AboutMe - person+man+woman,"['handyman', 'handywoman', 'handyperson']",,,
draftsperson,draftsman,draftswoman,,AboutMe - person+man+woman,"['draftsman', 'draftsperson', 'draftswoman']",,,
councilperson,councilman,councilwoman,,AboutMe - person+man+woman,"['councilman', 'councilwoman', 'councilperson']",,,
tradesperson,tradesman,tradeswoman,,AboutMe - person+man+woman,"['tradesman', 'tradesperson', 'tradeswoman']",,,
showperson,showman,showwoman,,AboutMe - person+man+woman,"['showman', 'showperson', 'showwoman']",,,
alderperson,alderman,alderwoman,1,AboutMe - person+man+woman,"['alderman', 'alderperson', 'alderwoman']",,,
clergyperson,clergyman,clergywoman,,AboutMe - person+man+woman,"['clergyman', 'clergyperson', 'clergywoman']",,,
repairperson,repairman,repairwoman,,AboutMe - person+man,"['repairman', 'repairperson']",367,1,repairwoman
delivery person,delivery man,delivery woman,,AboutMe - person+man,"['delivery person', 'delivery man']",77,1,delivery woman
sound engineer,soundman,soundwoman,,AboutMe - person+man,"['soundman', 'soundperson']",67,?,"sound woman shows up on the web, and sound engineer is a good neutral term"
point-person,point-man,point-woman,,AboutMe - person+man,"['point-person', 'point-man']",9,1,point woman
gentleperson,gentleman,gentlewoman,,AboutMe - man+woman,"['gentleman', 'gentlewoman']",857,1,gentleperson
ombudsperson,ombudsman,ombudswoman,1,AboutMe - man+woman,"['ombudsman', 'ombudswoman']",189,1,ombudsperson
assemblyperson,assemblyman,assemblywoman,1,AboutMe - man+woman,"['assemblyman', 'assemblywoman']",165,1,assemblyperson
postal carrier,postman,postwoman,,AboutMe - man+woman,"['postman', 'postwoman']",106,1,postal carrier
wingperson,wingman,wingwoman,,AboutMe - man+woman,"['wingman', 'wingwoman']",84,?,wingperson/wingmate
cleaning person,cleaning man,cleaning woman,,Vanmassenhove et al. (2021),,,,
server,waiter,waitress,,Vanmassenhove et al. (2021),,,,